id,user_id,tweeted_at,content
112b8762-688f-476b-8d84-08cbf62efae0,26abd43d-cbf6-4eee-a0ab-9b75d5f79653,2018-09-01T12:56:58.177562,"Jaffle Shop again. Ordered a chai and mighty, a for richer or pourover , a vanilla ice, a vanilla ice, a nutellaphone who dis?, a doctor stew, a nutellaphone who dis?, and a mel-bun. This place is terrible."
a2ae9fbd-fe92-4781-9ac9-451026a4af45,ab76e694-a4c9-4bd1-bb8d-818973828576,2018-09-01T12:14:08.479512,Jaffles from the Jaffle Shop are awesome! Ordered a chai and mighty.
1b111591-4233-408a-81f9-3069d0216639,8a8f9075-79b1-4832-b911-75775d816849,2018-09-01T09:30:19.919314,"Jaffle Shop again. Ordered a chai and mighty, a adele-ade, a mel-bun, and a flame impala. This place is disgusting."
3c2e81a8-35c2-45cd-b190-a668df3f79b6,93ec038e-ce8a-4c2e-b16a-3971b4e7dcc0,2018-09-01T08:16:39.757098,Jaffle Shop again. Ordered a chai and mighty and a doctor stew. This place is inedible.
9505ff3d-b06f-46cd-ada5-bbaa069421b3,76f0d4a3-b5dc-4f38-b115-5f878bfa109e,2018-09-01T14:57:44.734569,Jaffle Shop again. Ordered a vanilla ice. This place is disgusting.
ddcfc705-b7d6-444b-8b15-564cd782696d,d053e7be-8f99-40b4-bb2b-f631855aff33,2018-09-01T10:33:45.735142,Jaffles from the Jaffle Shop are fantastic! Ordered a tangaroo.
b99f8723-0425-4c1b-b5d2-268a5e06ffa6,d4cd386b-0cdb-4465-a2c2-0042cce07236,2018-09-01T10:36:54.725207,"Jaffle shop is okay. Ordered a for richer or pourover , a tangaroo, a flame impala, and a doctor stew."
568065c3-76eb-4a47-8998-0f5974475bce,d7dcfca5-154c-4611-a5d9-0d9a1431d344,2018-09-01T11:54:13.696568,"Jaffles from the Jaffle Shop are sooo gooood! Ordered a tangaroo, a vanilla ice, a the krautback, and a doctor stew."
0d586e22-8aa3-46d3-accb-8b780b6fe600,700d502a-bfe3-4b08-9664-3635655a2b82,2018-09-01T11:49:40.080670,"Jaffles from the Jaffle Shop are sooo gooood! Ordered a vanilla ice, a adele-ade, a for richer or pourover , a tangaroo, a vanilla ice, a the krautback, a the krautback, a the krautback, a the krautback, and a nutellaphone who dis?."
839b2296-1972-40e5-9395-afc45ff69271,4b4ce7ca-ebd2-40ce-a227-1ed8ed99fcb9,2018-09-01T11:40:06.221729,Jaffle Shop again. Ordered a vanilla ice. This place is the worst.
6721ccef-c718-43e8-b920-23699d0d95d2,c44fe363-7562-4777-a13c-9fb698f3f472,2018-09-01T11:57:15.335771,"Jaffles from the Jaffle Shop are awesome! Ordered a tangaroo, a for richer or pourover , a vanilla ice, a chai and mighty, a the krautback, a nutellaphone who dis?, a doctor stew, and a the krautback."
43002b33-236c-4a6a-a8c9-4b111af84c90,cdc97118-6c76-4c85-9e53-361aea3c7594,2018-09-01T12:48:03.461897,"Jaffle Shop again. Ordered a adele-ade, a tangaroo, a tangaroo, a chai and mighty, a flame impala, a nutellaphone who dis?, a the krautback, and a mel-bun. This place is my least favorite."
acf5c759-64ab-4ebe-9cc3-5280e0d40928,93e1ed54-b64a-4663-a506-541a5e782e74,2018-09-02T14:56:12.660238,Jaffles from the Jaffle Shop are fantastic! Ordered a adele-ade.
bd447940-baaa-41b4-b076-179d9350ebff,a38b1c54-af00-476b-a96a-adef98cbc0b0,2018-09-02T13:37:19.798732,Jaffles from the Jaffle Shop are amazing! Ordered a tangaroo.
7b2b6f1a-d996-4283-894b-07a607c32784,8f3c1e16-0809-4fe4-b5c4-a676eb024e7c,2018-09-02T13:51:19.963954,Jaffle Shop again. Ordered a tangaroo. This place is the worst.
68166bd6-de75-4b75-984b-788f66987314,93ec038e-ce8a-4c2e-b16a-3971b4e7dcc0,2018-09-02T09:53:28.721422,Jaffle Shop again. Ordered a tangaroo and a flame impala. This place is inedible.
cda4cc62-99a5-4539-820c-a7606e23790f,76f0d4a3-b5dc-4f38-b115-5f878bfa109e,2018-09-02T11:21:06.022748,Jaffle Shop again. Ordered a chai and mighty. This place is disgusting.
c3059f7a-2d81-480d-8b50-688c3daa516e,f273b7c1-12bc-43a0-a947-081f7a317ede,2018-09-02T15:08:01.087383,"Jaffle Shop again. Ordered a for richer or pourover , a tangaroo, a tangaroo, a mel-bun, a nutellaphone who dis?, and a flame impala. This place is the worst."
9b6a1c26-fcf1-4e9a-8f9c-212c0dfcc95d,3a1a1bef-1d82-4174-a11c-7f98759d4998,2018-09-02T12:30:53.334759,Jaffle Shop again. Ordered a adele-ade. This place is inedible.
54d86d64-997e-4046-b5f0-75faf8565543,5aff7936-5b61-4c7a-a044-c9d08848ecc5,2018-09-02T13:43:17.725184,Jaffles from the Jaffle Shop are the best! Ordered a vanilla ice.
56b5af7a-08b4-4f76-a0b7-004f4fe2f7cf,cdc97118-6c76-4c85-9e53-361aea3c7594,2018-09-02T13:15:48.952333,"Jaffle Shop again. Ordered a adele-ade, a chai and mighty, a vanilla ice, a vanilla ice, a the krautback, a nutellaphone who dis?, a the krautback, and a doctor stew. This place is disgusting."
698c2920-af51-49a1-a26c-cbfb23594047,93e1ed54-b64a-4663-a506-541a5e782e74,2018-09-03T14:44:30.866866,Jaffles from the Jaffle Shop are fantastic! Ordered a adele-ade.
4b46ae4b-267c-4310-898e-9622ce018d26,1c716f1d-ce6c-4815-9b4a-e6850e7b3ec7,2018-09-03T08:51:16.223130,Jaffles from the Jaffle Shop are awesome! Ordered a chai and mighty.
061f4a17-10ba-490e-9e31-2cb4d807b143,f10b943c-52c7-4654-8690-fbd4246b224c,2018-09-03T13:22:22.306805,Jaffle shop is not bad. Ordered a vanilla ice.
16bc821b-4c10-483d-96a1-3506504e2346,8f3c1e16-0809-4fe4-b5c4-a676eb024e7c,2018-09-03T11:41:45.900325,Jaffle Shop again. Ordered a for richer or pourover . This place is disgusting.
e77414a4-02ea-4733-84dd-28daa9314af6,2b7118f8-0b8d-4dc9-b0d8-74f0dc30d9b1,2018-09-03T07:46:59.328842,Jaffle shop is just meh. Ordered a tangaroo.
85c85395-b282-4005-8b07-d86f00da044d,773a9489-2134-418e-bfd5-b87d7f7c4b3e,2018-09-03T07:47:25.082676,Jaffles from the Jaffle Shop are sooo gooood! Ordered a tangaroo.
3356def7-5915-4630-8014-2653bcec7497,d053e7be-8f99-40b4-bb2b-f631855aff33,2018-09-03T12:26:18.809184,Jaffles from the Jaffle Shop are my favorite! Ordered a tangaroo.
082a26fe-0022-4209-9d3d-a1d8098ae3cc,58287324-f181-4be7-abc1-f2b5534d9d2a,2018-09-03T13:21:36.733949,Jaffle Shop again. Ordered a adele-ade. This place is my least favorite.
c54f38bc-dfb6-4616-a8b0-b1d5e702d95e,7719e9c3-5c4e-43ec-b0cc-5327889e823a,2018-09-03T08:07:00.648416,Jaffles from the Jaffle Shop are sooo gooood! Ordered a chai and mighty.
2b1b11e0-edc5-4cd7-b744-22c2ee850ca7,61d5b1b4-2628-43eb-8295-286614526088,2018-09-03T08:06:49.944789,Jaffle Shop again. Ordered a tangaroo. This place is my least favorite.
